"","Year","Month","Highest","MHHW","MHW","MSL","MTL","MLW","MLLW","DTL","GT","MN","DHQ","DLQ","HWI","LWI","Lowest","Inferred","city","date"
"1",2011,1,0.844,0.161,-0.003,-1.45,-1.485,-2.967,-3.07,-1.454,3.231,2.964,0.164,0.103,3.63,9.85,-3.671,0,"Boston",2011-01-01
"2",2011,2,0.686,0.087,-0.054,-1.483,-1.517,-2.981,-3.049,-1.481,3.136,2.927,0.141,0.068,3.59,9.78,-3.703,0,"Boston",2011-02-01
"3",2011,3,0.695,0.035,-0.083,-1.501,-1.539,-2.996,-3.062,-1.513,3.096,2.913,0.117,0.066,3.63,9.85,-3.749,0,"Boston",2011-03-01
"4",2011,4,0.658,0.079,-0.034,-1.456,-1.496,-2.958,-3.042,-1.481,3.121,2.924,0.113,0.084,3.66,9.85,-3.761,0,"Boston",2011-04-01
"5",2011,5,0.719,0.162,0.03,-1.372,-1.409,-2.849,-2.962,-1.4,3.124,2.879,0.132,0.113,3.68,9.89,-3.549,0,"Boston",2011-05-01
"6",2011,6,0.659,0.191,0.045,-1.357,-1.395,-2.836,-2.936,-1.372,3.127,2.881,0.146,0.1,3.72,9.9,-3.322,0,"Boston",2011-06-01
"7",2011,7,0.519,0.171,0.019,-1.39,-1.434,-2.887,-2.969,-1.399,3.14,2.906,0.152,0.082,3.69,9.83,-3.277,0,"Boston",2011-07-01
"8",2011,8,0.49,0.18,0.061,-1.371,-1.417,-2.895,-2.952,-1.386,3.132,2.956,0.119,0.057,3.68,9.84,-3.533,0,"Boston",2011-08-01
"9",2011,9,0.73,0.13,0.024,-1.423,-1.458,-2.941,-3.009,-1.439,3.139,2.965,0.106,0.068,3.65,9.83,-3.529,0,"Boston",2011-09-01
"10",2011,10,0.739,0.2,0.08,-1.356,-1.395,-2.871,-2.972,-1.386,3.172,2.951,0.12,0.101,3.65,9.84,-3.666,0,"Boston",2011-10-01
"11",2011,11,0.753,0.083,-0.049,-1.473,-1.508,-2.968,-3.081,-1.499,3.164,2.919,0.132,0.113,3.58,9.78,-3.714,0,"Boston",2011-11-01
"12",2011,12,0.683,0.014,-0.123,-1.51,-1.541,-2.96,-3.078,-1.532,3.092,2.837,0.137,0.118,3.67,9.83,-3.581,0,"Boston",2011-12-01
"13",2012,1,0.763,0.029,-0.142,-1.534,-1.566,-2.991,-3.107,-1.539,3.136,2.849,0.171,0.116,3.62,9.84,-3.571,0,"Boston",2012-01-01
"14",2012,2,0.395,0.019,-0.128,-1.532,-1.564,-3.001,-3.08,-1.53,3.099,2.873,0.147,0.079,3.67,9.84,-3.4,0,"Boston",2012-02-01
"15",2012,3,0.307,-0.013,-0.121,-1.512,-1.546,-2.972,-3.063,-1.538,3.05,2.851,0.108,0.091,3.7,9.82,-3.737,0,"Boston",2012-03-01
"16",2012,4,0.635,0.077,-0.016,-1.425,-1.464,-2.913,-3.006,-1.464,3.083,2.897,0.093,0.093,3.65,9.85,-3.526,0,"Boston",2012-04-01
"17",2012,5,0.63,0.087,-0.039,-1.468,-1.508,-2.978,-3.096,-1.504,3.183,2.939,0.126,0.118,3.67,9.87,-3.715,0,"Boston",2012-05-01
"18",2012,6,1.008,0.235,0.087,-1.347,-1.384,-2.855,-2.971,-1.368,3.206,2.942,0.148,0.116,3.67,9.91,-3.426,0,"Boston",2012-06-01
"19",2012,7,0.675,0.176,0.02,-1.418,-1.456,-2.932,-3.028,-1.426,3.204,2.952,0.156,0.096,3.7,9.91,-3.502,0,"Boston",2012-07-01
"20",2012,8,0.513,0.141,0.001,-1.43,-1.472,-2.946,-3.025,-1.442,3.166,2.947,0.14,0.079,3.75,9.93,-3.36,0,"Boston",2012-08-01
"21",2012,9,0.467,0.037,-0.064,-1.467,-1.506,-2.949,-3.016,-1.489,3.053,2.885,0.101,0.067,3.73,9.91,-3.433,0,"Boston",2012-09-01
"22",2012,10,0.801,0.107,0,-1.392,-1.426,-2.852,-2.957,-1.425,3.064,2.852,0.107,0.105,3.72,9.89,-3.509,0,"Boston",2012-10-01
"23",2012,11,0.736,0.134,0,-1.429,-1.466,-2.933,-3.061,-1.463,3.195,2.933,0.134,0.128,3.68,9.88,-3.734,0,"Boston",2012-11-01
"24",2012,12,0.82,0.145,0.006,-1.405,-1.438,-2.882,-3.006,-1.43,3.151,2.888,0.139,0.124,3.66,9.87,-3.741,0,"Boston",2012-12-01
"25",2013,1,0.693,0.005,-0.132,-1.557,-1.591,-3.051,-3.133,-1.564,3.138,2.919,0.137,0.082,3.6,9.85,-3.681,0,"Boston",2013-01-01
"26",2013,2,0.853,0.097,-0.047,-1.502,-1.537,-3.028,-3.129,-1.516,3.226,2.981,0.144,0.101,3.65,9.86,-3.553,0,"Boston",2013-02-01
"27",2013,3,0.784,0.265,0.153,-1.35,-1.397,-2.948,-3.019,-1.377,3.284,3.101,0.112,0.071,3.63,9.84,-3.532,0,"Boston",2013-03-01
"28",2013,4,0.664,0.106,-0.001,-1.491,-1.536,-3.071,-3.163,-1.528,3.269,3.07,0.107,0.092,3.6,9.82,-3.697,0,"Boston",2013-04-01
"29",2013,5,0.774,0.125,0.013,-1.473,-1.516,-3.046,-3.15,-1.512,3.275,3.059,0.112,0.104,3.62,9.86,-3.689,0,"Boston",2013-05-01
"30",2013,6,0.716,0.211,0.079,-1.401,-1.443,-2.965,-3.07,-1.429,3.281,3.044,0.132,0.105,3.67,9.89,-3.709,0,"Boston",2013-06-01
"31",2013,7,0.81,0.192,0.062,-1.389,-1.432,-2.926,-3.011,-1.409,3.203,2.988,0.13,0.085,3.72,9.92,-3.51,0,"Boston",2013-07-01
"32",2013,8,0.594,0.14,0.008,-1.416,-1.454,-2.916,-3,-1.43,3.14,2.924,0.132,0.084,3.74,9.93,-3.563,0,"Boston",2013-08-01
"33",2013,9,0.409,0.097,-0.01,-1.423,-1.461,-2.913,-2.986,-1.444,3.083,2.903,0.107,0.073,3.72,9.93,-3.448,0,"Boston",2013-09-01
"34",2013,10,0.488,0.079,-0.021,-1.424,-1.457,-2.894,-2.995,-1.458,3.074,2.873,0.1,0.101,3.74,9.92,-3.337,0,"Boston",2013-10-01
"35",2013,11,0.492,0.031,-0.11,-1.522,-1.559,-3.009,-3.134,-1.551,3.165,2.899,0.141,0.125,3.68,9.9,-3.541,0,"Boston",2013-11-01
"36",2013,12,0.703,0.104,-0.052,-1.518,-1.554,-3.057,-3.185,-1.54,3.289,3.005,0.156,0.128,3.64,9.88,-3.856,0,"Boston",2013-12-01
"37",2014,1,1.086,0.123,-0.044,-1.529,-1.574,-3.105,-3.225,-1.551,3.348,3.061,0.167,0.12,3.61,9.84,-3.915,0,"Boston",2014-01-01
"38",2014,2,0.494,0.034,-0.105,-1.567,-1.603,-3.102,-3.198,-1.582,3.232,2.997,0.139,0.096,3.62,9.9,-3.911,0,"Boston",2014-02-01
"39",2014,3,0.722,0.083,-0.028,-1.521,-1.567,-3.106,-3.173,-1.545,3.256,3.078,0.111,0.067,3.65,9.87,-3.852,0,"Boston",2014-03-01
"40",2014,4,0.63,0.135,0.028,-1.461,-1.507,-3.042,-3.126,-1.495,3.261,3.07,0.107,0.084,3.67,9.9,-3.496,0,"Boston",2014-04-01
"41",2014,5,0.481,0.182,0.055,-1.409,-1.455,-2.965,-3.08,-1.449,3.262,3.02,0.127,0.115,3.67,9.88,-3.488,0,"Boston",2014-05-01
"42",2014,6,0.686,0.175,0.037,-1.407,-1.454,-2.945,-3.05,-1.437,3.225,2.982,0.138,0.105,3.7,9.91,-3.508,0,"Boston",2014-06-01
"43",2014,7,0.653,0.138,-0.003,-1.445,-1.491,-2.979,-3.061,-1.461,3.199,2.976,0.141,0.082,3.73,9.9,-3.687,0,"Boston",2014-07-01
"44",2014,8,0.628,0.137,0.019,-1.418,-1.462,-2.944,-2.999,-1.431,3.136,2.963,0.118,0.055,3.72,9.9,-3.64,0,"Boston",2014-08-01
"45",2014,9,0.575,0.117,0,-1.443,-1.483,-2.967,-3.025,-1.454,3.142,2.967,0.117,0.058,3.7,9.9,-3.564,0,"Boston",2014-09-01
"46",2014,10,0.629,0.209,0.097,-1.351,-1.384,-2.865,-2.945,-1.368,3.154,2.962,0.112,0.08,3.64,9.85,-3.53,0,"Boston",2014-10-01
"47",2014,11,0.606,0.145,0.011,-1.451,-1.487,-2.986,-3.096,-1.475,3.241,2.997,0.134,0.11,3.65,9.84,-3.546,0,"Boston",2014-11-01
"48",2014,12,0.629,0.159,0.027,-1.449,-1.482,-2.991,-3.096,-1.468,3.255,3.018,0.132,0.105,3.64,9.87,-3.659,0,"Boston",2014-12-01
"49",2015,1,1.018,0.053,-0.097,-1.542,-1.58,-3.064,-3.179,-1.563,3.232,2.967,0.15,0.115,3.61,9.83,-3.697,0,"Boston",2015-01-01
"50",2015,2,0.787,0.066,-0.059,-1.539,-1.58,-3.101,-3.19,-1.562,3.256,3.042,0.125,0.089,3.61,9.83,-4.095,0,"Boston",2015-02-01
"51",2015,3,0.61,-0.077,-0.162,-1.614,-1.649,-3.137,-3.205,-1.641,3.128,2.975,0.085,0.068,3.73,9.9,-3.927,0,"Boston",2015-03-01
"52",2015,4,0.684,0.047,-0.043,-1.505,-1.548,-3.054,-3.131,-1.542,3.178,3.011,0.09,0.077,3.68,9.9,-3.735,0,"Boston",2015-04-01
"53",2015,5,0.492,0.005,-0.098,-1.535,-1.578,-3.059,-3.148,-1.571,3.153,2.961,0.103,0.089,3.73,9.94,-3.614,0,"Boston",2015-05-01
"54",2015,6,0.37,0.102,-0.025,-1.456,-1.498,-2.971,-3.067,-1.482,3.169,2.946,0.127,0.096,3.71,9.91,-3.379,0,"Boston",2015-06-01
"55",2015,7,0.461,0.192,0.058,-1.388,-1.431,-2.921,-3.002,-1.405,3.194,2.979,0.134,0.081,3.74,9.94,-3.442,0,"Boston",2015-07-01
"56",2015,8,0.544,0.163,0.054,-1.421,-1.469,-2.993,-3.049,-1.443,3.212,3.047,0.109,0.056,3.71,9.88,-3.565,0,"Boston",2015-08-01
"57",2015,9,0.659,0.109,0.024,-1.426,-1.468,-2.96,-3.019,-1.455,3.128,2.984,0.085,0.059,3.68,9.89,-3.716,0,"Boston",2015-09-01
"58",2015,10,0.729,0.15,0.056,-1.407,-1.443,-2.943,-3.023,-1.436,3.173,2.999,0.094,0.08,3.66,9.86,-3.748,0,"Boston",2015-10-01
"59",2015,11,0.428,0.039,-0.06,-1.495,-1.531,-3.002,-3.118,-1.539,3.157,2.942,0.099,0.116,3.66,9.88,-3.867,0,"Boston",2015-11-01
